FSC-A,FSC-H,SSC-A,FITC-A,PE-A,PerCP-Cy5.5-A,PE-Cy7-A,APC-A,APC-R700-A,APC-Cy7-A,V450-A,V500-C-A,Population
42632,30664,12111,1706,6926,19944,2682,285,-50,22,6505,569,Residual Leukemic Cells
70417,43592,31444,2199,854,214,-85,6703,-10,-31,6075,5748,Mature Monocytes
78251,60250,21741,3350,2842,165,83,925,-11,38,164,1404,Basophils
49816,32483,17624,8194,247,-24,111,10,26,2252,4645,11233,B Cell Precursors
57151,39184,11015,14504,-94,15,51,48,72,3229,31206,1963,B Cell Precursors
68757,56833,16430,4422,15631,-37,182,1761,-12,125,274,3742,Basophils
99021,67523,40427,1761,7590,19608,-732,2254,-1180,-303,8539,1948,Normal Myeloid Precursors
79713,58076,97297,1140,21722,-105,24,872,61,100,242,4660,Segmented Neutrophils
25824,18982,6071,481,111,228,58,-1,22,1322,23977,4337,Mast Cells
135299,90440,28353,3128,367,4153,4746,279,14,20,1483,1153,Residual Leukemic Cells
60313,38223,27196,5096,689,2076,64949,15818,1717,1458,1672,2044,Mast Cells
103780,66045,99631,721,5711,245,-54,1350,44,-58,209,1033,Segmented Neutrophils
61866,29600,43690,3456,30272,351,3589,4284,-78,-125,2156,708,Promyelocytes
118575,74173,88036,958,2206,267,121,776,-48,143,20,1130,Segmented Neutrophils
50557,32097,20663,2381,13606,833,-79,5077,85,171,4586,4491,Mature Monocytes
61169,40127,46870,2123,1050,838,-10,2196,26,69,2663,1850,Mature Monocytes
40537,29352,9052,197,19,29,-41,1,46,36,1,9374,T and NK Cells
72124,45949,45895,2552,4323,241,-5,7780,-98,156,1016,3055,Monoblasts and Promonocytes
24291,17704,7011,2172,163,157,96,-17,55,131,280,4007,T and NK Cells
34432,24562,12403,11607,1122,44,299,1143,30,10,-32,1559,Basophils
46189,36518,3570,63,89,56,102,-13,-8,26,34,142,Erythroid Cells
65753,46066,32640,10387,5086,23360,8088,2567,-113,138,9389,1138,Residual Leukemic Cells
195361,114267,233746,1621,2860,1027,24,490,32,68,1232,3470,Eosinophils
136639,83823,115695,1244,882,377,63,3555,63,178,741,1577,"Myelocyte, Metamyelocytes and Band Cells"
97285,55797,79721,7145,23703,155,1739,6939,-71,-114,3042,713,Promyelocytes
144310,84225,223634,1071,9158,474,236,698,236,122,1096,11198,Eosinophils
46395,33665,14475,6981,3882,234,326,2591,94,-51,58,2870,Basophils
154713,85629,217119,1282,2975,697,140,717,70,109,741,4476,Eosinophils
86669,60493,83286,763,12191,482,-24,1873,88,87,89,2809,Segmented Neutrophils
64560,47328,13833,15873,64,78,-38,-11,-5,24,369,2242,Plasmacytoid Dendritic Cells
80757,50207,41692,164142,422,220,5,-6,139,1384,585,3832,Plasma Cells
44728,31227,14201,8819,190,2,6,82,3,742,6054,8731,B Cell Precursors
40190,29128,10051,857,2,145,-19,0,24,570,68889,5281,Mature B Cells
80123,55402,34111,3022,13907,509,78,6478,114,243,3692,6030,Mature Monocytes
153507,92465,218097,1961,5354,1489,407,823,68,41,1633,8048,Eosinophils
52457,38938,13102,1439,17,115,-74,17,-39,1999,7882,11164,Mature B Cells
32079,19580,14194,1775,128,5485,1763,5874,122,-158,964,1357,Residual Leukemic Cells
88972,58474,40145,15691,8445,45210,6994,8611,54,1,24835,3808,Normal Myeloid Precursors
99743,53689,67718,4092,9404,202,220,12168,65,348,1565,2897,Mature Monocytes
75818,54772,26533,1748,6298,24205,5447,2575,24,-170,7842,1106,Normal Myeloid Precursors
67345,51043,18830,2358,56,167,84,26,-11,3288,8013,9543,Mature B Cells
42617,28729,21201,2520,1791,40456,12142,457,-46,-218,26426,1344,Residual Leukemic Cells
146564,88415,144607,818,11985,289,0,828,5,61,293,1737,Segmented Neutrophils
134041,88621,92555,803,10146,-126,10,1716,76,0,246,2714,Segmented Neutrophils
73185,46158,29489,4481,587,104,-29,5257,-6,-136,13047,1195,Mature Monocytes
46368,32060,15706,5256,-5,220,270,46,10,4172,28446,9668,Mast Cells
88373,50806,75713,4452,40861,-287,1196,2882,64,-98,276,1267,Promyelocytes
64551,38968,23351,1019,-1,171,252,77,81,7588,32497,7984,Mast Cells
47138,27229,24878,12963,14245,776,2895,2870,-22,-32,4181,1590,Promyelocytes
124500,78382,86635,914,4297,374,46,1651,-1,23,55,887,Segmented Neutrophils
88084,57679,89260,808,13939,96,-101,1365,9,1,35,3941,Segmented Neutrophils
42708,27116,12285,511,71,141,-39,6,8,-34,69,13989,T and NK Cells
59163,44651,13247,883,36,5504,-207,-33,40,86,124,896,Residual Leukemic Cells
162870,93988,99609,996,348,552,-33,3022,-49,-24,544,1188,"Myelocyte, Metamyelocytes and Band Cells"
58275,42594,24853,17901,6485,341,750,2825,-31,130,88,3629,Basophils
148968,92833,136197,806,6388,646,63,440,30,79,602,9127,Eosinophils
43156,29888,18919,2213,3605,13303,548,1576,-160,-65,5501,1206,Residual Leukemic Cells
51064,38272,10321,233,21,27,71,87,-23,5,45,105,Erythroid Cells
56955,37069,21446,1189,10,160,260,-40,16,-17,139,161,Erythroid Precursors
71074,43476,27687,39825,293,202,-87,24,14,1911,59,3226,Plasma Cells
113281,66172,41176,1260,163,277,2195,89,99,-3,675,502,Erythroid Precursors
99558,68921,33720,6352,2345,-56,111,1207,0,-61,22575,3086,Monoblasts and Promonocytes
93390,59110,102333,968,11369,138,-162,1339,71,11,244,1734,Segmented Neutrophils
98593,62911,43992,153179,77,418,351,-50,102,3135,18,10381,Plasma Cells
42616,26187,18654,6166,2164,969,45607,523,100,-716,88,686,Mast Cells
80653,51835,77110,6141,25280,560,2702,2503,624,182,1871,1612,Promyelocytes
65148,43970,22583,2105,1225,24582,3191,845,24,-9,8723,1097,Residual Leukemic Cells
137298,73267,43113,11890,859,9610,7568,522,54,7,6194,1816,Erythroid Precursors
34573,27464,4630,68,32,15,27,-5,17,20,91,49,Erythroid Cells
95484,61956,76390,614,11395,-212,20,774,128,-10,144,2284,Segmented Neutrophils
106684,68382,27431,7316,1458,225,100,8397,1253,77,3379,2003,Monoblasts and Promonocytes
104551,65855,66399,2103,15478,692,-1,13923,5021,-317,4854,4230,Mature Monocytes
95900,52856,32119,25885,10504,198,170,7475,184,365,591,2336,Basophils
192000,92867,128884,3420,7769,171,132621,14229,341,312,1027,4049,Mast Cells
47055,35136,15293,592,-10,189,1,-60,-30,2661,32902,5794,Mast Cells
58006,35080,16962,1531,483,833,17,-31,97,71,104,457,Erythroid Cells
58939,38980,16920,8036,391,4048,-145,2529,-78,-103,13727,1796,Plasmacytoid Dendritic Cells
108185,71655,93315,1022,12564,426,37,541,212,-55,500,4495,Segmented Neutrophils
102989,56594,47778,4004,210,407,2898,25,33,54,318,678,Erythroid Precursors
117288,76194,199602,1026,21547,779,186,1258,117,178,1471,7146,Eosinophils
52293,34686,16324,285,33,73,165,23,-18,-27,71,12211,T and NK Cells
32281,23421,6312,5507,-21,118,55,103,18,1510,11304,1851,B Cell Precursors
74593,53963,15640,4105,924,662,31826,2792,-20,-132,204,781,Mast Cells
88273,49069,68317,6842,36382,519,6090,6086,36,52,729,1274,Promyelocytes
43798,32010,20953,889,23,125,91,130,71,1917,12437,5221,Mature B Cells
68738,56216,17277,297,47,11,30,62,379,-16,1283,13290,T and NK Cells
151822,93890,44466,131361,702,1749,293,131,64,1353,554,320,Plasma Cells
61540,41199,67575,549,19237,-178,106,1227,-4,-14,135,3567,Segmented Neutrophils
78487,55448,44992,571,190,169,53,1039,40,43,210,745,"Myelocyte, Metamyelocytes and Band Cells"
98585,60844,81390,759,19531,1489,295,513,135,379,678,4450,Segmented Neutrophils
136849,86960,109507,912,4113,336,-6,2051,103,20,612,2151,"Myelocyte, Metamyelocytes and Band Cells"
151594,95713,95913,1453,1703,377,236,1283,66,-9,246,903,"Myelocyte, Metamyelocytes and Band Cells"
68768,49328,18257,19565,6,294,-51,6,3099,191,23,4185,T and NK Cells
102498,65531,76821,515,2710,453,-76,1321,4,63,115,788,Segmented Neutrophils
105205,57201,102174,840,14314,-197,-57,829,11,-43,241,2759,Segmented Neutrophils
87464,49848,77173,405,15474,229,120,571,92,-5,132,1445,Segmented Neutrophils
69834,54927,16369,279,830,256,12847,431,7060,128,120,5402,Mast Cells
64568,36481,55870,7681,32362,417,3461,5106,-31,-105,3774,1332,Promyelocytes
106396,73131,182248,960,5041,320,456,453,-1,-45,696,3594,Eosinophils
114712,70278,138702,816,18976,230,233,2207,90,92,199,5704,Segmented Neutrophils
145213,119814,16411,232,93,219,120,41,13,7,368,347,Erythroid Cells
19197,13888,5228,5509,84,719,-5,12,49,574,1631,772,B Cell Precursors
62618,49302,13109,2916,7152,-10,356,1312,0,29,211,2326,Basophils
40637,28676,11146,232,71,0,208,0,29,-20,28,245,Erythroid Cells
48960,32785,8844,173,87,165,-23,41,6,-23,-100,21,Erythroid Cells
173543,103964,206960,3817,16676,3718,329,1184,210,-38,11583,8740,Eosinophils
155803,95740,96772,922,1019,419,66,1435,13,116,545,1463,"Myelocyte, Metamyelocytes and Band Cells"
65497,44094,28596,4930,5943,27652,7272,1890,-99,-113,8683,755,Normal Myeloid Precursors
54256,38996,12710,544,38,131,74,33,6,-28,-32,9460,T and NK Cells
57942,44111,16304,1626,2,-36,134,-4,283,-48,581,7812,T and NK Cells
38770,24336,9499,2879,599,-50,28531,687,-8,268,-64,1267,Mast Cells
92475,56768,58701,8464,1333,106,409,1305,-23,-33,25109,1242,Monoblasts and Promonocytes
54364,28267,50218,4866,12260,743,2795,4936,-8,78,835,1556,Promyelocytes
84823,53439,84771,511,19899,664,-72,2293,12,5,304,7216,Segmented Neutrophils
76787,49692,31600,6128,5932,344,209,13912,-22,-28,10540,5468,Mature Monocytes
177033,104445,57543,160625,1128,2235,836,213,91,168,182,5523,Plasma Cells
87745,57624,44834,1719,15126,188,28,11573,-50,209,11418,3931,Mature Monocytes
119526,82768,65260,2034,437,406,109,2972,143,171,401,771,"Myelocyte, Metamyelocytes and Band Cells"
67258,44443,17762,4707,-73,133,37,1374,15,-54,9653,3610,Plasmacytoid Dendritic Cells
45113,31382,13524,18166,-91,64,64,-8,-35,353,8662,3400,B Cell Precursors
64951,43027,20314,78544,-320,18,91,-13,-20,390,3280,4485,Plasma Cells
75323,50751,54883,12314,4974,937,5309,9661,142,139,32641,2294,Promyelocytes
52292,39357,10844,1671,-5,17,39,28,-11,-2,2497,9943,T and NK Cells
66140,42562,29762,946,3857,327,-15,1060,0,38,142,1382,"Myelocyte, Metamyelocytes and Band Cells"
177756,107543,185793,1148,12069,1087,5,1586,185,49,938,3724,Eosinophils
97544,54666,62912,475,1251,543,39231,12518,56,279,329,1632,Mast Cells
60042,40481,35521,2779,40,118,-34,1257,-24,109,10954,6768,Plasmacytoid Dendritic Cells
105053,77501,26937,2332,98,189,-84,60,-22,8812,39759,10484,Mature B Cells
124030,79148,30543,986,90,131,33,519,846,-83,10258,4066,Residual Leukemic Cells
69923,53291,16769,2757,4227,251,45,3188,104,32,286,2438,Basophils
82337,50778,66206,6777,8481,14562,12308,3477,-685,574,50042,1852,Normal Myeloid Precursors
81471,51264,51271,630,328,364,63,2194,20,-21,71,1812,"Myelocyte, Metamyelocytes and Band Cells"
68913,47255,36641,2256,11178,469,21,11103,10,181,752,5677,Mature Monocytes
105095,65898,59995,2400,4273,351,7,11071,-23,32,2337,1509,Monoblasts and Promonocytes
82460,52627,22534,1609,6982,214,2546,1425,14,24,9847,573,Residual Leukemic Cells
102406,63949,114319,818,10366,399,125,512,69,-21,564,4597,Segmented Neutrophils
109721,70012,52661,7093,12698,-30,78,18081,315,-149,5519,8642,Mature Monocytes
97988,58100,40900,1798,322,191,1203,90,51,-75,556,691,Erythroid Precursors
58357,42453,16024,10587,1300,295,235,525,21,33,93,2307,Basophils
104421,63505,23901,15076,325,7055,-557,200,-46,724,37930,2012,B Cell Precursors
53223,40497,15714,359,82,39,-8,55,-5,2093,7340,4779,Mature B Cells
146014,79521,54846,175339,11806,2929,395,404,633,2596,1339,13827,Plasma Cells
115903,69362,42497,4524,123,449,6461,113,18,-1,140,1039,Erythroid Precursors
55320,39744,16220,1067,87,140,107,35,-21,625,62734,3784,Mature B Cells
69060,42833,44290,6736,8582,575,1075,9172,-24,64,25205,641,Promyelocytes
101840,65637,42192,7163,637,1817,8744,28,49,-213,3878,1682,Erythroid Precursors
155135,85943,161366,1657,2360,1792,6,2743,508,187,1520,5880,Eosinophils
33888,24685,5951,8047,-31,49,-39,64,37,1141,6672,1656,B Cell Precursors
29519,20877,8365,1388,-42,151,-73,26,-11,372,1957,536,Mature B Cells
63421,46796,10653,99,88,74,13,36,3,11,-12,2394,T and NK Cells
66438,48713,12983,16884,5002,185,355,718,42,31,611,2775,Basophils
64494,42797,34694,1816,10294,437,291,9439,276,-21,6949,5112,Mature Monocytes
